book_id,author,title,text_path,graph_path,philosophy,society,religion,love,death,nature,war,identity
28920,"Tolstoy, Leo, graf","War and Peace, Book 01: 1805","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\28920_War_and_Peace,_Book_01__1805.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\28920_War_and_Peace,_Book_01__1805_thoughtmap.png",0.140389,0.057622,0.121743,0.077335,0.152031,0.159799,0.223132,0.067948
27726,"Tolstoy, Leo, graf",Tolstoy on Shakespeare: A Critical Essay on Shakespeare,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\27726_Tolstoy_on_Shakespeare__A_Critical_Essay_on_Shakespeare.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\27726_Tolstoy_on_Shakespeare__A_Critical_Essay_on_Shakespeare_thoughtmap.png",0.326783,0.0,0.161801,0.0,0.122907,0.221202,0.008285,0.159023
6157,"Tolstoy, Leo, graf","What Men Live By, and Other Tales","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\6157_What_Men_Live_By,_and_Other_Tales.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\6157_What_Men_Live_By,_and_Other_Tales_thoughtmap.png",0.130522,0.104021,0.141203,0.113615,0.173852,0.117462,0.086695,0.13263
64908,"Tolstoy, Leo, graf",What Is Art?,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\64908_What_Is_Art.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\64908_What_Is_Art_thoughtmap.png",0.165072,0.108376,0.11702,0.153512,0.088509,0.123292,0.100859,0.143358
26663,"Tolstoy, Leo, graf",Fruits of Culture,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\26663_Fruits_of_Culture.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\26663_Fruits_of_Culture_thoughtmap.png",0.193429,0.069206,0.148547,0.088934,0.083075,0.222849,0.065048,0.128912
26661,"Tolstoy, Leo, graf",The Power of Darkness,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\26661_The_Power_of_Darkness.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\26661_The_Power_of_Darkness_thoughtmap.png",0.202647,0.0,0.098366,0.058695,0.122605,0.261704,0.126898,0.129085
43302,"Tolstoy, Leo, graf","""The Kingdom of God Is Within You"": Christianity Not as a Mystic Religion but as a New Theory of Life","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\43302_The_Kingdom_of_God_Is_Within_You___Christianity_Not_as_a_Mystic_Religion_but_as_a_New_Theory_of_Life.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\43302_The_Kingdom_of_God_Is_Within_You___Christianity_Not_as_a_Mystic_Religion_but_as_a_New_Theory_of_Life_thoughtmap.png",0.171578,0.055224,0.202009,0.072579,0.123333,0.144596,0.124056,0.106625
59195,"Tolstoy, Leo, graf",Index of the Project Gutenberg Works of Leon Tolstoy,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\59195_Index_of_the_Project_Gutenberg_Works_of_Leon_Tolstoy.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\59195_Index_of_the_Project_Gutenberg_Works_of_Leon_Tolstoy_thoughtmap.png",0.10712,0.045834,0.106852,0.093725,0.124575,0.175947,0.166657,0.179289
59196,"Dostoyevsky, Fyodor",Index of the Project Gutenberg Works of Fyodor Dostoevsky,"D:\ThoughtMap\gutendex_books\Dostoyevsky,_Fyodor\59196_Index_of_the_Project_Gutenberg_Works_of_Fyodor_Dostoevsky.txt","D:\ThoughtMap\gutendex_books\Dostoyevsky,_Fyodor\graphs\59196_Index_of_the_Project_Gutenberg_Works_of_Fyodor_Dostoevsky_thoughtmap.png",0.111686,0.038705,0.010605,0.015323,0.203401,0.215015,0.220457,0.184808
1342,"Austen, Jane",Pride and Prejudice,"D:\ThoughtMap\gutendex_books\Austen,_Jane\1342_Pride_and_Prejudice.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\1342_Pride_and_Prejudice_thoughtmap.png",0.126918,0.112856,0.081908,0.207231,0.109816,0.147137,0.071275,0.14286
