doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000058,Treasure Island,"Stevenson, Robert Louis",gutendex,0.1089408,0.10935443,0.06462297,0.042352542,0.07836201,0.14687748,0.08344522,0.1437426,0.15553746,0.06676445
doc_000059,Grimms' Fairy Tales,"Grimm, Jacob; Grimm, Wilhelm",gutendex,0.1861601,0.06299408,0.120896555,0.0,0.12693815,0.11804722,0.10488948,0.14451838,0.07162396,0.063932136
doc_000060,The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,"Austen, Jane",gutendex,0.112343125,0.09942281,0.13709338,0.052146763,0.08605051,0.12896018,0.07627878,0.08767664,0.08003137,0.13999644
doc_000061,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice",gutendex,0.13249773,0.04874223,0.1278116,0.0,0.1172395,0.16645016,0.11497132,0.1257469,0.14113846,0.025402073
doc_000062,Sense and Sensibility,"Austen, Jane",gutendex,0.12155229,0.1205085,0.07826402,0.048313737,0.05299324,0.13000841,0.0983136,0.101381354,0.14511923,0.10354563
doc_000063,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm",gutendex,0.12806682,0.091924176,0.103404745,0.033121027,0.10247726,0.110300794,0.12547657,0.11875421,0.11430013,0.072174236
doc_000064,"Ecce Homo: Complete Works, Volume Seventeen","Nietzsche, Friedrich Wilhelm",gutendex,0.13480662,0.106214784,0.14918353,0.0,0.08460117,0.12827508,0.11299319,0.08060534,0.13851942,0.06480095
doc_000065,The Misplaced Battleship,"Harrison, Harry",gutendex,0.13564089,0.08677517,0.07434912,0.0,0.096382625,0.117652245,0.14778528,0.11329516,0.15900187,0.06911762
doc_000066,Under the Red Dragon: A Novel,"Grant, James",gutendex,0.1256803,0.02325597,0.13868539,0.0,0.15852264,0.08487046,0.12766132,0.092866674,0.14801756,0.10043969
doc_000067,A Study in Scarlet,"Doyle, Arthur Conan",gutendex,0.12618123,0.082523644,0.20307276,0.00044032058,0.10467655,0.10002966,0.05928426,0.077881746,0.18312131,0.06278858
